Competition,Country,OW_Event,OW_Date,Athlete,NAT,Birth,OW_Rank,OW_Time,PoolEvent,WA_SB_Time,WA_SB_Date,WA_SB_Meet,WA_SB_Country,WA_PB_Time,WA_PB_Date,WA_PB_Meet,WA_PB_Country
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"KAJIMOTO, Ichika",JPN,,8,2:09:27.80,400 Free,4:07.58,2025-03-20,2025 Japan National Swimming Championships (50m),JPN,4:07.58,2025-03-20,2025 Japan National Swimming Championships (50m),JPN
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"KAJIMOTO, Ichika",JPN,,8,2:09:27.80,800 Free,8:26.02,2025-03-23,2025 Japan National Swimming Championships (50m),JPN,8:26.02,2025-03-23,2025 Japan National Swimming Championships (50m),JPN
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"KAJIMOTO, Ichika",JPN,,8,2:09:27.80,1500 Free,16:10.37,2025-03-21,2025 Japan National Swimming Championships (50m),JPN,16:10.37,2025-03-21,2025 Japan National Swimming Championships (50m),JPN
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"DE VALDES, Maria",ESP,,4,2:08:09.60,400 Free,,,,,4:10.47,2022-07-22,Spanish Summer Junior National Championships (50m),ESP
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"DE VALDES, Maria",ESP,,4,2:08:09.60,800 Free,,,,,8:35.46,2022-07-23,Spanish Summer Junior National Championships (50m),ESP
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"DE VALDES, Maria",ESP,,4,2:08:09.60,1500 Free,,,,,16:18.37,2021-03-26,Spanish National Championships (50m),ESP
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"JOHNSON, Moesha",AUS,,1,2:07:51.30,400 Free,,,,,4:15.78,2019-04-11,Hancock Prospecting Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"JOHNSON, Moesha",AUS,,1,2:07:51.30,800 Free,,,,,8:26.35,2022-05-18,Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"JOHNSON, Moesha",AUS,,1,2:07:51.30,1500 Free,,,,,16:00.74,2022-05-21,Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"MARTINEZ GUILLEN, Angela",ESP,,5,2:08:17.30,400 Free,,,,,4:13.79,2024-02-21,2024 Spanish Winter Championships (50m),ESP
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"MARTINEZ GUILLEN, Angela",ESP,,5,2:08:17.30,800 Free,,,,,8:36.23,2022-04-09,Spanish Spring National Championships (50m),ESP
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"MARTINEZ GUILLEN, Angela",ESP,,5,2:08:17.30,1500 Free,,,,,16:20.66,2022-04-11,Spanish Spring National Championships (50m),ESP
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"POU, Lisa",MON,,3,2:07:57.50,400 Free,,,,,4:23.16,2019-04-16,French National Championships (50m),FRA
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"POU, Lisa",MON,,3,2:07:57.50,800 Free,,,,,8:50.68,2021-06-19,National French Championships (50m),FRA
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"POU, Lisa",MON,,3,2:07:57.50,1500 Free,,,,,16:44.49,2019-04-18,French National Championships (50m),FRA
